frame,P0,P0.25,P0.5,P0.75,P1,V0,V0.25,V0.5,V0.75,V1,M0,M0.25,M0.5,M0.75,M1
1,0.28033008588990904,0.4053300858899093,0.8838834764831833,1.0088834764831835,1.1338834764831838,0.9874368670764568,1.112436867076457,1.5909902576697312,1.7159902576697315,1.8409902576697317,1.0035069557545738e-16,-0.37120873926376075,-0.7866116523516798,-1.371208739263758,-1.9999999999999958
2,-0.5000000000000003,-0.5000000000000003,-0.5000000000000003,-0.5000000000000003,-0.5000000000000003,-2.249999999999997,-2.124999999999998,-1.9999999999999978,-1.8749999999999973,-1.7499999999999971,-1.9999999999999978,-1.4531249999999964,-0.937499999999995,-0.4531249999999957,3.4664109413037876e-15
3,-0.5000000000000002,-0.5000000000000002,-0.5000000000000002,-0.5000000000000002,-0.5000000000000002,-1.7499999999999996,-1.6249999999999993,-0.9999999999999992,-0.37499999999999917,-0.24999999999999925,0.0,0.4218749999999998,-0.270833333333334,-0.07812500000000092,-1.1156174984677801e-15
4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.12499999999999988,1.1671108133756712e-16,0.12500000000000014,0.2500000000000002,7.839898091832608e-18,0.04687499999999997,0.0625,0.046875000000000035,-3.3711561794880217e-17
5,-0.9571067811865475,-0.8321067811865472,-0.7071067811865469,-0.5821067811865467,-0.45710678118654663,-0.25,-0.12499999999999978,1.9001721507025392e-16,0.12500000000000017,0.25000000000000017,-1.881575542039826e-17,0.0662912607362387,0.08838834764831816,0.06629126073623844,-4.771374228530094e-16
